"","age","job","marital","education","credit_in_default","housing_loan","personal_loan","last_contact_type","last_contact_month","last_contact_day","last_contact_duration","n_contacts_this_campaign","days_since_last_contact","n_contacts_prev_campaign","prev_campaign_outcome","registered","married_or_not","education_category"
"34",45,"technician - Gafanha da Nazaré","single","professional.course","no","yes","yes","cellular","mar","thu",143,2,999,0,"nonexistent","no","not married","unknown"
"35",34,"admin. - Fátima","single","university.degree","no","yes","no","cellular","aug","mon",NA,3,999,0,"nonexistent","no","not married","university"
"36",NA,"management - Vila Franca de Xira","married","basic.4y","no","no","no","cellular","nov","mon",96,2,999,0,"nonexistent","no","married","high school or less"
"37",41,"admin. - Gafanha da Nazaré","married","university.degree","no","yes","no","cellular","jul","fri",269,7,6,3,"success","no","married","university"
"38",40,"blue-collar - Valongo","married","basic.4y","no","yes","no","telephone","jun","thu",134,1,999,0,"nonexistent","no","married","high school or less"
"39",44,"management - Santa Comba Dão","married","","unknown","yes","no","cellular","jul","mon",418,1,999,0,"nonexistent","no","married","unknown"
"40",32,"technician - Agualva-Cacém","single","professional.course","no","yes","no","cellular","apr","mon",54,1,999,0,"nonexistent","no","not married","unknown"
"41",53,"unemployed - Barcelos","married","basic.4y","unknown","yes","no","telephone","may","wed",339,10,999,0,"nonexistent","no","married","high school or less"
"42",46,"entrepreneur - Tavira","married","high.school","no","no","no","cellular","jun","tue",69,2,999,1,"failure","no","married","high school or less"
"43",37,"services - Agualva-Cacém","married","high.school","no","no","no","cellular","may","wed",NA,1,999,1,"failure","no","married","high school or less"
"44",37,"admin. - Freamunde","divorced","university.degree","no","yes","no","telephone","jun","mon",683,1,999,0,"nonexistent","no","not married","university"
"45",53,"unemployed - Vila Baleira (a.k.a. Porto Santo)","married","basic.6y","unknown","no","no","cellular","jul","mon",273,1,999,0,"nonexistent","no","married","high school or less"
"46",41,"housemaid - Odivelas","single","basic.4y","unknown","yes","no","cellular","jul","mon",385,3,999,0,"nonexistent","no","not married","high school or less"
"47",53,"","married","university.degree","no","yes","no","cellular","aug","thu",NA,1,999,0,"nonexistent","no","married","university"
"48",34,"technician - Covilhã","single","university.degree","no","yes","no","cellular","aug","wed",82,1,999,0,"nonexistent","no","not married","university"
"49",45,"blue-collar - Oliveira do Bairro","married","basic.9y","unknown","yes","no","telephone","may","wed",142,1,999,0,"nonexistent","no","married","high school or less"
"50",29,"services - Estremoz","married","basic.9y","no","no","no","telephone","may","fri",116,3,999,0,"nonexistent","no","married","high school or less"
"51",37,"admin. - Águeda","single","university.degree","no","yes","no","cellular","mar","thu",194,2,999,1,"failure","no","not married","university"
"52",40,"blue-collar - Guimarães","married","basic.9y","unknown","no","no","telephone","may","mon",46,1,999,0,"nonexistent","no","married","high school or less"
"53",26,"admin. - Gafanha da Nazaré","married","high.school","no","yes","yes","telephone","jun","wed",119,2,999,0,"nonexistent","no","married","high school or less"
"54",34,"blue-collar - Almada","married","","unknown","no","yes","cellular","may","thu",262,1,999,0,"nonexistent","no","married","unknown"
"55",27,"technician - Ponta Delgada","married","","no","yes","no","cellular","jun","mon",492,1,999,0,"nonexistent","no","married","unknown"
"56",48,"technician - Marinha Grande","married","high.school","no","yes","no","cellular","aug","thu",102,3,999,0,"nonexistent","no","married","high school or less"
"57",NA,"technician - Odivelas","single","basic.9y","unknown","no","no","cellular","jul","fri",171,7,999,0,"nonexistent","no","not married","high school or less"
"58",31,"entrepreneur - Oliveira de Azeméis","married","","no","yes","no","telephone","jun","fri",40,2,999,0,"nonexistent","no","married","unknown"
"59",35,"blue-collar - Mealhada","married","professional.course","no","yes","no","cellular","may","wed",466,2,999,0,"nonexistent","no","married","unknown"
"60",45,"blue-collar - Lagoa","single","","no","no","no","telephone","may","thu",78,3,999,0,"nonexistent","no","not married","unknown"
"61",33,"admin. - Portalegre","single","university.degree","no","no","no","cellular","nov","thu",291,1,999,0,"nonexistent","no","not married","university"
"62",37,"blue-collar - Viseu","single","basic.9y","no","yes","no","telephone","may","tue",185,2,999,0,"nonexistent","no","not married","high school or less"
"63",42,"technician - Santana","divorced","professional.course","no","yes","no","cellular","aug","tue",265,11,999,0,"nonexistent","no","not married","unknown"
"64",30,"technician - Portalegre","single","university.degree","no","yes","no","cellular","aug","fri",NA,3,999,0,"nonexistent","no","not married","university"
"65",43,"blue-collar - Póvoa de Santa Iria","married","basic.4y","unknown","yes","no","cellular","jul","fri",101,6,999,0,"nonexistent","no","married","high school or less"
"66",44,"admin. - Albufeira","single","basic.6y","unknown","yes","no","cellular","jul","thu",130,2,999,0,"nonexistent","no","not married","high school or less"
"67",27,"services - Porto","single","high.school","no","yes","no","cellular","jul","tue",168,3,999,0,"nonexistent","no","not married","high school or less"
"68",36,"","married","high.school","no","no","no","telephone","may","thu",NA,2,999,0,"nonexistent","no","married","high school or less"
"69",32,"admin. - Queluz","married","university.degree","no","yes","yes","cellular","nov","thu",51,1,999,0,"nonexistent","no","married","university"
"70",NA,"blue-collar - Olhão da Restauração","married","basic.9y","unknown","yes","no","cellular","may","mon",186,1,999,0,"nonexistent","no","married","high school or less"
"71",33,"technician - Lagoa","married","professional.course","no","yes","no","telephone","aug","fri",58,1,999,0,"nonexistent","no","married","unknown"
"72",28,"technician - Esmoriz","single","high.school","no","yes","no","cellular","jul","tue",NA,1,999,0,"nonexistent","no","not married","high school or less"
"73",46,"blue-collar - Olhão da Restauração","","basic.4y","no","no","no","cellular","nov","thu",185,2,999,0,"nonexistent","no","not married","high school or less"
"74",58,"blue-collar - Tondela","married","basic.4y","unknown","yes","no","telephone","aug","wed",NA,21,999,0,"nonexistent","no","married","high school or less"
"75",55,"blue-collar - Gafanha da Nazaré","single","basic.4y","no","yes","no","cellular","apr","wed",NA,2,999,0,"nonexistent","no","not married","high school or less"
"76",42,"blue-collar - Oliveira de Azeméis","married","basic.6y","no","no","no","telephone","may","wed",287,1,999,0,"nonexistent","no","married","high school or less"
"77",25,"technician - Torres Vedras","single","professional.course","no","yes","no","cellular","jul","thu",312,5,999,0,"nonexistent","no","not married","unknown"
"78",44,"management - Leiria","married","basic.9y","unknown","no","no","telephone","may","wed",NA,2,999,0,"nonexistent","no","married","high school or less"
"79",31,"blue-collar - Vila Baleira (a.k.a. Porto Santo)","single","high.school","no","yes","no","telephone","may","thu",120,1,999,0,"nonexistent","no","not married","high school or less"
"80",40,"admin. - Câmara de Lobos","married","high.school","unknown","no","yes","cellular","may","fri",NA,4,999,0,"nonexistent","no","married","high school or less"
"81",33,"technician - Vila Baleira (a.k.a. Porto Santo)","married","professional.course","unknown","no","no","cellular","may","wed",167,3,999,1,"failure","no","married","unknown"
"82",37,"admin. - Esmoriz","married","university.degree","no","yes","no","cellular","jul","wed",353,1,999,0,"nonexistent","no","married","university"
"83",33,"technician - Vila do Conde","","professional.course","no","no","no","cellular","aug","thu",64,1,999,0,"nonexistent","no","not married","unknown"
"84",34,"technician - Gondomar","single","university.degree","no","no","no","cellular","jul","tue",173,1,999,0,"nonexistent","no","not married","university"
"85",33,"blue-collar - Alfena","married","basic.6y","unknown","yes","no","cellular","jul","tue",186,1,999,0,"nonexistent","no","married","high school or less"
"86",33,"technician - Porto","single","professional.course","no","yes","no","cellular","may","tue",42,1,999,0,"nonexistent","no","not married","unknown"
"87",34,"services - Pinhel","single","high.school","no","no","no","cellular","nov","wed",155,1,999,1,"failure","no","not married","high school or less"
"88",39,"admin. - Santa Maria da Feira","married","high.school","no","yes","no","telephone","may","fri",343,1,999,0,"nonexistent","no","married","high school or less"
"89",42,"blue-collar - Faro","married","basic.6y","no","yes","no","cellular","may","thu",56,1,999,0,"nonexistent","no","married","high school or less"
"90",47,"blue-collar - Póvoa de Santa Iria","married","unknown","unknown","no","no","telephone","may","thu",361,1,999,0,"nonexistent","no","married","unknown"
"91",40,"services - Agualva-Cacém","married","basic.6y","no","no","no","cellular","nov","thu",NA,2,999,0,"nonexistent","no","married","high school or less"
"92",39,"services - Funchal","divorced","high.school","unknown","yes","no","telephone","jun","mon",241,5,999,0,"nonexistent","no","not married","high school or less"
"93",42,"blue-collar - Estremoz","married","","no","no","yes","cellular","apr","thu",579,3,999,0,"nonexistent","no","married","unknown"
"94",54,"services - Valpaços","married","basic.9y","no","yes","yes","cellular","nov","mon",175,3,999,0,"nonexistent","no","married","high school or less"
"95",41,"admin. - Vila Nova de Santo André","married","university.degree","no","yes","no","cellular","aug","wed",460,1,999,0,"nonexistent","no","married","university"
"96",33,"admin. - Praia da Vitória","single","university.degree","no","yes","no","cellular","aug","mon",566,6,999,0,"nonexistent","no","not married","university"
"97",23,"management - Praia da Vitória","single","university.degree","no","yes","yes","cellular","jul","thu",804,2,999,0,"nonexistent","no","not married","university"
"98",53,"technician - Póvoa de Santa Iria","divorced","high.school","no","yes","no","cellular","jul","tue",NA,4,999,0,"nonexistent","no","not married","high school or less"
"99",54,"blue-collar - Elvas","married","basic.9y","unknown","yes","no","cellular","jul","fri",602,5,999,0,"nonexistent","no","married","high school or less"
"100",58,"","divorced","unknown","unknown","yes","no","cellular","jul","mon",341,12,999,0,"nonexistent","no","not married","unknown"
"101",35,"blue-collar - Rio Tinto","married","basic.4y","no","yes","no","telephone","jul","fri",178,1,999,0,"nonexistent","no","married","high school or less"
"102",25,"admin. - Agualva-Cacém","single","high.school","no","no","no","cellular","jul","tue",313,6,999,0,"nonexistent","no","not married","high school or less"
"103",41,"management - Chaves","married","university.degree","no","unknown","unknown","cellular","may","tue",NA,1,999,0,"nonexistent","no","married","university"
"104",35,"technician - Peso da Régua","","professional.course","no","yes","no","cellular","aug","mon",120,2,999,0,"nonexistent","no","not married","unknown"
"105",28,"blue-collar - Lagoa","single","high.school","no","yes","no","cellular","jul","tue",NA,5,999,0,"nonexistent","no","not married","high school or less"
"106",26,"","single","high.school","no","no","no","telephone","jun","wed",72,1,999,0,"nonexistent","no","not married","high school or less"
"107",57,"blue-collar - Anadia","married","basic.4y","unknown","yes","no","telephone","may","thu",1051,3,999,0,"nonexistent","no","married","high school or less"
"108",51,"services - Barcelos","married","high.school","unknown","no","yes","cellular","aug","tue",20,5,999,0,"nonexistent","no","married","high school or less"
"109",24,"technician - Horta","divorced","professional.course","no","no","no","cellular","apr","fri",332,1,999,1,"failure","no","not married","unknown"
"110",29,"self-employed - Caniço","married","professional.course","no","no","no","telephone","jun","wed",632,1,999,0,"nonexistent","no","married","unknown"
"111",46,"management - Covilhã","married","high.school","no","no","no","cellular","nov","fri",NA,3,999,0,"nonexistent","no","married","high school or less"
"112",53,"services - Agualva-Cacém","married","unknown","no","yes","no","cellular","jun","tue",NA,1,999,0,"nonexistent","no","married","unknown"
"113",26,"services - Amora","single","high.school","no","yes","no","cellular","jul","wed",284,8,999,0,"nonexistent","no","not married","high school or less"
"114",55,"technician - Guimarães","married","basic.6y","no","yes","no","telephone","may","tue",452,2,999,0,"nonexistent","no","married","high school or less"
"115",35,"blue-collar - Peso da Régua","single","","no","no","no","cellular","jun","mon",NA,1,999,0,"nonexistent","no","not married","unknown"
"116",59,"admin. - Covilhã","divorced","","no","no","no","cellular","apr","wed",194,1,999,0,"nonexistent","no","not married","unknown"
"117",NA,"services - Quarteira","married","unknown","no","yes","no","telephone","may","wed",333,1,999,0,"nonexistent","no","married","unknown"
"118",47,"admin. - Loulé","married","university.degree","no","yes","no","cellular","nov","thu",70,2,999,0,"nonexistent","no","married","university"
"119",34,"","","professional.course","unknown","yes","no","telephone","may","thu",158,1,999,0,"nonexistent","no","not married","unknown"
"120",66,"retired - Valongo","married","professional.course","no","yes","yes","cellular","apr","fri",222,4,999,0,"nonexistent","no","married","unknown"
"121",35,"management - Lisbon","single","university.degree","no","yes","no","cellular","jul","tue",590,23,999,0,"nonexistent","no","not married","university"
"122",27,"admin. - Rio Tinto","married","high.school","no","no","no","cellular","oct","tue",572,1,999,0,"nonexistent","no","married","high school or less"
"123",36,"housemaid - Tarouca","married","basic.4y","no","no","no","cellular","aug","mon",NA,2,999,0,"nonexistent","no","married","high school or less"
"124",34,"","married","high.school","no","no","no","telephone","may","tue",211,1,999,0,"nonexistent","no","married","high school or less"
"125",39,"blue-collar - Castelo Branco","married","basic.9y","no","yes","no","cellular","may","tue",149,1,999,0,"nonexistent","no","married","high school or less"
"126",28,"services - Oliveira do Bairro","single","basic.9y","no","yes","no","telephone","may","fri",148,2,999,0,"nonexistent","no","not married","high school or less"
"127",41,"services - Alfena","married","high.school","unknown","yes","yes","telephone","jun","tue",31,1,999,0,"nonexistent","no","married","high school or less"
"128",34,"management - Figueira da Foz","married","university.degree","no","yes","no","telephone","may","wed",155,1,999,0,"nonexistent","no","married","university"
"129",52,"management - Ermesinde","married","university.degree","no","no","no","cellular","may","fri",698,5,999,1,"failure","no","married","university"
"130",36,"blue-collar - Gouveia","married","unknown","unknown","yes","no","telephone","may","fri",219,4,999,0,"nonexistent","no","married","unknown"
"131",33,"","married","","unknown","yes","no","cellular","nov","thu",386,2,999,0,"nonexistent","no","married","unknown"
"132",50,"management - Pinhel","married","","no","yes","no","cellular","oct","fri",NA,2,999,0,"nonexistent","no","married","unknown"
"133",31,"services - Aveiro","married","high.school","no","no","yes","cellular","nov","thu",NA,1,999,0,"nonexistent","no","married","high school or less"
"134",45,"blue-collar - Gondomar","single","high.school","no","no","no","cellular","may","fri",358,1,999,0,"nonexistent","no","not married","high school or less"
"135",47,"admin. - Sines","married","university.degree","no","yes","no","telephone","jun","tue",NA,9,999,0,"nonexistent","no","married","university"
"136",38,"admin. - Silves","married","university.degree","no","yes","no","telephone","aug","fri",20,1,999,0,"nonexistent","no","married","university"
"137",55,"admin. - Vila do Conde","single","university.degree","unknown","no","no","cellular","nov","mon",NA,1,999,0,"nonexistent","no","not married","university"
"138",48,"blue-collar - Agualva-Cacém","married","basic.4y","no","no","no","telephone","jun","fri",29,2,999,0,"nonexistent","no","married","high school or less"
"139",29,"services - Peso da Régua","married","high.school","no","yes","yes","cellular","may","tue",380,1,999,0,"nonexistent","no","married","high school or less"
"140",31,"blue-collar - Maia","married","basic.9y","no","no","no","cellular","nov","thu",277,1,999,0,"nonexistent","no","married","high school or less"
"141",51,"technician - Oliveira do Hospital","divorced","high.school","unknown","no","no","cellular","aug","tue",162,3,999,0,"nonexistent","no","not married","high school or less"
"142",27,"technician - Barcelos","married","professional.course","no","no","no","cellular","may","tue",234,6,999,1,"failure","no","married","unknown"
"143",40,"technician - Marinha Grande","married","professional.course","no","yes","no","cellular","aug","thu",NA,8,999,0,"nonexistent","no","married","unknown"
"144",30,"blue-collar - Serpa","single","unknown","no","yes","no","telephone","may","mon",NA,1,999,0,"nonexistent","no","not married","unknown"
"145",39,"technician - Leiria","single","professional.course","no","yes","no","cellular","nov","wed",180,1,999,1,"failure","no","not married","unknown"
"146",29,"admin. - Praia da Vitória","married","university.degree","no","no","no","telephone","jul","mon",NA,1,999,0,"nonexistent","no","married","university"
"147",55,"unemployed - Mêda","divorced","basic.9y","no","no","no","telephone","jun","fri",9,6,999,0,"nonexistent","no","not married","high school or less"
"148",34,"management - Trancoso","divorced","university.degree","no","no","yes","cellular","jul","tue",NA,5,999,0,"nonexistent","no","not married","university"
"149",53,"unknown - Santana","married","high.school","unknown","no","no","telephone","jun","wed",NA,3,999,0,"nonexistent","no","married","high school or less"
"150",51,"services - Barreiro","married","high.school","unknown","no","yes","telephone","jun","wed",269,1,999,0,"nonexistent","no","married","high school or less"
"151",29,"admin. - Coimbra","single","university.degree","no","no","no","cellular","jul","wed",NA,6,999,0,"nonexistent","no","not married","university"
"152",22,"admin. - Abrantes","single","high.school","no","yes","no","cellular","jul","tue",NA,1,999,0,"nonexistent","no","not married","high school or less"
"153",42,"management - Valongo","married","basic.6y","no","no","no","cellular","nov","fri",133,1,999,0,"nonexistent","no","married","high school or less"
"154",33,"admin. - Esposende","married","university.degree","no","no","no","telephone","may","wed",55,1,999,0,"nonexistent","no","married","university"
"155",41,"admin. - Barreiro","single","high.school","no","no","no","cellular","apr","fri",NA,3,999,0,"nonexistent","no","not married","high school or less"
"156",44,"blue-collar - Oliveira do Bairro","married","basic.4y","unknown","yes","yes","cellular","aug","wed",310,1,999,0,"nonexistent","no","married","high school or less"
"157",42,"blue-collar - Tondela","divorced","basic.9y","no","yes","no","telephone","may","wed",NA,11,999,0,"nonexistent","no","not married","high school or less"
"158",26,"management - Águeda","","university.degree","unknown","yes","no","cellular","jul","wed",124,1,999,0,"nonexistent","no","not married","university"
"159",23,"student - Almada","single","basic.9y","no","no","no","cellular","jul","tue",73,6,999,0,"nonexistent","no","not married","high school or less"
"160",35,"blue-collar - Vila Nova de Famalicão","single","basic.6y","no","no","no","cellular","nov","thu",370,1,999,1,"failure","no","not married","high school or less"
"161",52,"admin. - Torres Vedras","married","","no","no","no","cellular","aug","mon",NA,1,999,0,"nonexistent","no","married","unknown"
"162",26,"","married","basic.9y","no","no","no","cellular","may","wed",45,2,999,2,"failure","no","married","high school or less"
"163",32,"blue-collar - Rio Tinto","married","basic.9y","no","yes","no","cellular","may","fri",NA,2,999,1,"failure","no","married","high school or less"
"164",45,"technician - Póvoa de Santa Iria","married","professional.course","no","no","no","telephone","jul","wed",20,5,999,0,"nonexistent","no","married","unknown"
"165",36,"services - Mangualde","","high.school","no","yes","no","cellular","oct","fri",NA,1,6,1,"success","no","not married","high school or less"
"166",73,"retired - Alfena","married","basic.9y","no","no","no","cellular","aug","fri",239,1,15,1,"success","no","married","high school or less"
"167",NA,"blue-collar - Rebordosa","single","basic.6y","no","yes","no","cellular","may","tue",357,1,999,2,"failure","no","not married","high school or less"
"168",56,"management - Santana","married","basic.9y","unknown","no","no","cellular","apr","tue",NA,1,999,0,"nonexistent","no","married","high school or less"
"169",40,"blue-collar - Vila Baleira (a.k.a. Porto Santo)","single","unknown","unknown","yes","no","telephone","jun","fri",8,7,999,0,"nonexistent","no","not married","unknown"
"170",46,"blue-collar - Loulé","married","basic.4y","no","yes","no","cellular","nov","wed",416,2,999,0,"nonexistent","no","married","high school or less"
"171",51,"services - Águeda","divorced","unknown","unknown","yes","no","telephone","jun","fri",16,3,999,0,"nonexistent","no","not married","unknown"
"172",24,"services - Torres Vedras","single","high.school","no","no","no","telephone","may","wed",260,1,999,0,"nonexistent","no","not married","high school or less"
"173",35,"management - Évora","divorced","university.degree","no","no","no","cellular","jul","fri",210,4,999,0,"nonexistent","no","not married","university"
"174",53,"","married","basic.4y","no","yes","no","telephone","jul","fri",NA,1,999,0,"nonexistent","no","married","high school or less"
"175",34,"admin. - Funchal","single","high.school","no","no","no","telephone","jun","tue",423,1,999,0,"nonexistent","no","not married","high school or less"
"176",45,"services - Águeda","divorced","high.school","unknown","no","no","cellular","may","wed",NA,3,999,0,"nonexistent","no","not married","high school or less"
"177",45,"blue-collar - Santa Cruz","married","illiterate","no","yes","no","cellular","aug","fri",NA,1,999,0,"nonexistent","no","married","unknown"
"178",37,"admin. - Fundão","divorced","basic.9y","unknown","no","no","telephone","may","thu",312,6,999,0,"nonexistent","no","not married","high school or less"
"179",49,"blue-collar - Vila Franca de Xira","married","basic.6y","no","no","no","cellular","aug","mon",NA,6,999,0,"nonexistent","no","married","high school or less"
"180",36,"services - Ermesinde","married","basic.6y","no","yes","no","telephone","may","thu",64,1,999,0,"nonexistent","no","married","high school or less"
"181",43,"blue-collar - Ílhavo","married","basic.9y","unknown","unknown","unknown","cellular","may","tue",46,1,999,0,"nonexistent","no","married","high school or less"
"182",34,"blue-collar - Rebordosa","married","basic.9y","no","yes","no","telephone","may","tue",NA,2,999,0,"nonexistent","no","married","high school or less"
"183",38,"blue-collar - Águeda","married","basic.6y","no","no","no","cellular","jul","tue",728,8,999,0,"nonexistent","no","married","high school or less"
"184",56,"blue-collar - Covilhã","married","basic.4y","unknown","yes","no","telephone","may","fri",NA,2,999,0,"nonexistent","no","married","high school or less"
"185",37,"services - Oliveira do Bairro","married","high.school","no","yes","no","cellular","nov","tue",157,2,999,0,"nonexistent","no","married","high school or less"
"186",29,"technician - Miranda do Douro","single","basic.9y","no","yes","no","cellular","may","mon",288,2,999,0,"nonexistent","no","not married","high school or less"
"187",40,"services - Valbom","married","high.school","no","yes","no","telephone","may","mon",NA,3,999,0,"nonexistent","no","married","high school or less"
"188",31,"blue-collar - Agualva-Cacém","married","basic.9y","no","unknown","unknown","telephone","may","mon",73,1,999,0,"nonexistent","no","married","high school or less"
"189",55,"","married","university.degree","no","yes","no","cellular","apr","thu",211,3,999,0,"nonexistent","no","married","university"
"190",44,"blue-collar - Almada","married","basic.9y","unknown","yes","no","telephone","may","mon",33,4,999,0,"nonexistent","no","married","high school or less"
"191",50,"technician - Tondela","single","professional.course","no","no","yes","cellular","jul","mon",173,8,999,0,"nonexistent","no","not married","unknown"
"192",58,"management - Valongo","married","university.degree","unknown","no","no","telephone","may","thu",205,2,999,0,"nonexistent","no","married","university"
"193",29,"unemployed - Évora","","university.degree","no","no","yes","telephone","may","wed",211,2,999,0,"nonexistent","no","not married","university"
"194",34,"unemployed - Valbom","married","high.school","no","yes","no","cellular","nov","mon",564,2,999,0,"nonexistent","no","married","high school or less"
"195",53,"admin. - Évora","married","basic.9y","unknown","yes","no","telephone","may","fri",168,3,999,0,"nonexistent","no","married","high school or less"
"196",42,"management - Marinha Grande","married","unknown","unknown","no","no","telephone","may","fri",NA,2,999,0,"nonexistent","no","married","unknown"
"197",51,"technician - Setúbal","divorced","professional.course","no","yes","yes","cellular","apr","fri",NA,1,999,1,"failure","no","not married","unknown"
"198",42,"management - Câmara de Lobos","married","university.degree","no","no","no","cellular","nov","mon",NA,1,999,0,"nonexistent","no","married","university"
"199",36,"technician - Espinho","","","no","yes","no","telephone","nov","tue",34,1,999,0,"nonexistent","no","not married","unknown"
"200",50,"blue-collar - Mêda","married","","unknown","no","yes","telephone","may","tue",600,1,999,0,"nonexistent","no","married","unknown"
"201",27,"services - Portimão","single","high.school","no","yes","no","telephone","may","wed",386,1,999,0,"nonexistent","no","not married","high school or less"
"202",57,"admin. - Macedo de Cavaleiros","married","university.degree","unknown","yes","yes","cellular","aug","tue",61,4,999,0,"nonexistent","no","married","university"
"203",36,"blue-collar - Esposende","married","basic.9y","no","yes","no","cellular","may","thu",98,1,999,2,"failure","no","married","high school or less"
"204",49,"blue-collar - Setúbal","married","basic.4y","unknown","unknown","unknown","telephone","jun","fri",25,1,999,0,"nonexistent","no","married","high school or less"
"205",29,"services - Odivelas","married","high.school","unknown","yes","no","cellular","nov","thu",441,4,999,0,"nonexistent","no","married","high school or less"
"206",50,"unemployed - Reguengos de Monsaraz","married","basic.9y","unknown","yes","no","telephone","aug","thu",192,1,999,0,"nonexistent","no","married","high school or less"
"207",42,"admin. - Seixal","single","university.degree","unknown","yes","yes","telephone","may","wed",62,3,999,0,"nonexistent","no","not married","university"
"208",42,"admin. - Ílhavo","single","high.school","no","yes","no","cellular","jul","thu",154,4,999,0,"nonexistent","no","not married","high school or less"
"209",44,"entrepreneur - Santana","married","university.degree","unknown","no","yes","cellular","jul","thu",13,2,999,0,"nonexistent","no","married","university"
"210",33,"services - Seixal","divorced","high.school","no","yes","no","telephone","jun","fri",52,4,999,0,"nonexistent","no","not married","high school or less"
"211",33,"entrepreneur - Fundão","married","university.degree","no","no","no","cellular","nov","thu",55,1,999,0,"nonexistent","no","married","university"
